Other frameworks and libraries
.NET
NumPy
Pandas
Spring
TensorFlow
Flutter
Scikit-learn
React Native
Apache Kafka
Electron
Torch/PyTorch
Qt
Keras
Ionic
Xamarin
Apache Spark
Cordova
Hadoop
GTK
Capacitor
Tidyverse
Hugging Face Transformers
Uno Platform
