Cloud platforms
AWS
Microsoft Azure
Google Cloud
Firebase
Heroku
DigitalOcean
VMware
Managed Hosting
Linode
OVH
Oracle Cloud Infrastructure
OpenStack
IBM Cloud or Watson
Colocation
